SQUADRA,CALIGO,CASA GOTUZZO,CERERIA,CIRCOLO SPORT,EXCALIBUR,LE FONTANE,LOOMI,MARY JO,STORICO,TELERIA 108,TIREBOUCHON,VINORIA,VINOTECA,VITAE,BONUS
Squadra 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squadra 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
